[frame 00000] webcam=595.5ms  encode=67.6ms  decode=10.0ms  reproject=0.0ms  render=34.6ms  grid=6.5ms  imwrite=0.0ms  stream=2.9ms  TOTAL=717.2ms  (1.4 fps)
[frame 00001] webcam=94.6ms  encode=78.9ms  decode=12.2ms  reproject=0.0ms  render=24.3ms  grid=4.5ms  imwrite=0.0ms  stream=1.5ms  TOTAL=215.9ms  (4.6 fps)
[frame 00002] webcam=100.0ms  encode=63.5ms  decode=11.7ms  reproject=0.0ms  render=22.5ms  grid=4.5ms  imwrite=0.0ms  stream=1.5ms  TOTAL=203.6ms  (4.9 fps)
[frame 00003] webcam=102.9ms  encode=68.9ms  decode=12.3ms  reproject=0.0ms  render=25.2ms  grid=4.0ms  imwrite=0.0ms  stream=1.5ms  TOTAL=214.8ms  (4.7 fps)
[frame 00004] webcam=96.3ms  encode=78.1ms  decode=10.9ms  reproject=0.0ms  render=24.7ms  grid=4.5ms  imwrite=0.0ms  stream=1.5ms  TOTAL=215.9ms  (4.6 fps)
[frame 00005] webcam=102.9ms  encode=57.2ms  decode=11.2ms  reproject=0.0ms  render=21.1ms  grid=4.3ms  imwrite=0.0ms  stream=1.5ms  TOTAL=198.1ms  (5.0 fps)
[frame 00006] webcam=95.1ms  encode=62.6ms  decode=11.5ms  reproject=0.0ms  render=22.8ms  grid=4.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=197.7ms  (5.1 fps)
[frame 00007] webcam=105.5ms  encode=62.0ms  decode=10.8ms  reproject=0.0ms  render=23.6ms  grid=4.9ms  imwrite=0.0ms  stream=1.5ms  TOTAL=208.3ms  (4.8 fps)
[frame 00008] webcam=98.4ms  encode=63.4ms  decode=11.3ms  reproject=0.0ms  render=26.8ms  grid=4.6ms  imwrite=0.0ms  stream=1.9ms  TOTAL=206.4ms  (4.8 fps)
[frame 00009] webcam=97.0ms  encode=59.3ms  decode=11.3ms  reproject=0.0ms  render=23.5ms  grid=5.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=197.8ms  (5.1 fps)
[frame 00010] webcam=95.4ms  encode=66.5ms  decode=11.6ms  reproject=0.0ms  render=25.7ms  grid=4.6ms  imwrite=0.0ms  stream=1.6ms  TOTAL=205.3ms  (4.9 fps)
[frame 00011] webcam=96.9ms  encode=83.7ms  decode=11.1ms  reproject=0.0ms  render=23.9ms  grid=3.9ms  imwrite=0.0ms  stream=1.5ms  TOTAL=221.1ms  (4.5 fps)
[frame 00012] webcam=98.1ms  encode=62.6ms  decode=12.3ms  reproject=0.0ms  render=25.3ms  grid=4.6ms  imwrite=0.0ms  stream=1.7ms  TOTAL=204.6ms  (4.9 fps)
[frame 00013] webcam=97.7ms  encode=64.0ms  decode=12.6ms  reproject=0.0ms  render=26.2ms  grid=4.3ms  imwrite=0.0ms  stream=1.5ms  TOTAL=206.4ms  (4.8 fps)
[frame 00014] webcam=93.0ms  encode=58.4ms  decode=10.7ms  reproject=0.0ms  render=28.7ms  grid=5.6ms  imwrite=0.0ms  stream=1.4ms  TOTAL=197.9ms  (5.1 fps)
[frame 00015] webcam=94.5ms  encode=60.9ms  decode=11.3ms  reproject=0.0ms  render=25.7ms  grid=5.3ms  imwrite=0.0ms  stream=1.4ms  TOTAL=199.2ms  (5.0 fps)
[frame 00016] webcam=98.9ms  encode=64.2ms  decode=11.9ms  reproject=0.0ms  render=23.8ms  grid=4.6ms  imwrite=0.0ms  stream=1.6ms  TOTAL=204.9ms  (4.9 fps)
[frame 00017] webcam=96.3ms  encode=92.8ms  decode=10.3ms  reproject=0.0ms  render=23.2ms  grid=5.3ms  imwrite=0.0ms  stream=1.6ms  TOTAL=229.5ms  (4.4 fps)
[frame 00018] webcam=96.2ms  encode=68.9ms  decode=10.5ms  reproject=0.0ms  render=23.7ms  grid=4.4ms  imwrite=0.0ms  stream=1.4ms  TOTAL=205.2ms  (4.9 fps)
[frame 00019] webcam=95.3ms  encode=63.3ms  decode=10.1ms  reproject=0.0ms  render=22.9ms  grid=5.9ms  imwrite=0.0ms  stream=2.7ms  TOTAL=200.3ms  (5.0 fps)
[frame 00020] webcam=98.1ms  encode=94.8ms  decode=10.7ms  reproject=0.0ms  render=36.5ms  grid=4.7ms  imwrite=0.0ms  stream=1.7ms  TOTAL=246.6ms  (4.1 fps)
[frame 00021] webcam=103.8ms  encode=70.8ms  decode=10.8ms  reproject=0.0ms  render=25.4ms  grid=5.2ms  imwrite=0.0ms  stream=1.7ms  TOTAL=217.6ms  (4.6 fps)
[frame 00022] webcam=95.7ms  encode=54.5ms  decode=10.6ms  reproject=0.0ms  render=25.9ms  grid=4.7ms  imwrite=0.0ms  stream=1.4ms  TOTAL=192.8ms  (5.2 fps)
[frame 00023] webcam=101.3ms  encode=66.7ms  decode=12.6ms  reproject=0.0ms  render=27.6ms  grid=4.9ms  imwrite=0.0ms  stream=1.5ms  TOTAL=214.6ms  (4.7 fps)
[frame 00024] webcam=102.2ms  encode=64.2ms  decode=11.9ms  reproject=0.0ms  render=25.8ms  grid=5.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=211.2ms  (4.7 fps)
[frame 00025] webcam=106.6ms  encode=62.3ms  decode=11.3ms  reproject=0.0ms  render=22.5ms  grid=4.6ms  imwrite=0.0ms  stream=1.4ms  TOTAL=208.9ms  (4.8 fps)
